recall_year,recall_month,car_model,car_num
2023년,07월,스텔란티스코리아 주식회사,987
2023년,06월,스텔란티스코리아 주식회사,1479
2023년,05월,스텔란티스코리아 주식회사,1737
2023년,04월,스텔란티스코리아 주식회사,737
2023년,01월,스텔란티스코리아 주식회사,984
2023년,총합,스텔란티스코리아 주식회사,8556
2023년,12월,포드세일즈서비스코리아(유),2644
2023년,11월,포드세일즈서비스코리아(유),17294
2023년,10월,포드세일즈서비스코리아(유),5801
2023년,09월,포드세일즈서비스코리아(유),3828
2023년,08월,포드세일즈서비스코리아(유),2155
2023년,06월,포드세일즈서비스코리아(유),2802
2023년,05월,포드세일즈서비스코리아(유),1
2023년,04월,포드세일즈서비스코리아(유),1089
2023년,02월,포드세일즈서비스코리아(유),34409
2023년,총합,포드세일즈서비스코리아(유),70023
2023년,08월,지엠아시아퍼시픽지역본부 주식회사,21
2023년,03월,지엠아시아퍼시픽지역본부 주식회사,504
2023년,총합,지엠아시아퍼시픽지역본부 주식회사,525
2023년,12월,메르세데스벤츠코리아(주),6877
2023년,11월,메르세데스벤츠코리아(주),9868
2023년,10월,메르세데스벤츠코리아(주),749
2023년,09월,메르세데스벤츠코리아(주),17551
2023년,08월,메르세데스벤츠코리아(주),14023
2023년,07월,메르세데스벤츠코리아(주),2579
2023년,06월,메르세데스벤츠코리아(주),9178
2023년,05월,메르세데스벤츠코리아(주),20555
2023년,04월,메르세데스벤츠코리아(주),14313
2023년,03월,메르세데스벤츠코리아(주),246
2023년,02월,메르세데스벤츠코리아(주),17111
2023년,01월,메르세데스벤츠코리아(주),469
2023년,총합,메르세데스벤츠코리아(주),113519
2023년,12월,(주)볼보자동차코리아,29
2023년,02월,(주)볼보자동차코리아,2587
2023년,01월,(주)볼보자동차코리아,5
2023년,총합,(주)볼보자동차코리아,2621
2023년,11월,제이스모빌리티 주식회사,910
2023년,총합,제이스모빌리티 주식회사,910
2023년,08월,폴스타오토모티브코리아 유한회사,1
2023년,총합,폴스타오토모티브코리아 유한회사,1
2023년,12월,한국토요타자동차(주),36
2023년,08월,한국토요타자동차(주),108
2023년,02월,한국토요타자동차(주),2397
2023년,총합,한국토요타자동차(주),2541
2023년,08월,볼보트럭코리아(주),1
2023년,01월,볼보트럭코리아(주),95
2023년,총합,볼보트럭코리아(주),96
2023년,09월,스카니아코리아그룹(주),1287
2023년,07월,스카니아코리아그룹(주),1
2023년,총합,스카니아코리아그룹(주),1288
2023년,03월,만트럭버스코리아(주),98
2023년,02월,만트럭버스코리아(주),127
2023년,총합,만트럭버스코리아(주),225
2023년,12월,혼다코리아(주),730
2023년,07월,혼다코리아(주),5434
2023년,04월,혼다코리아(주),6638
2023년,총합,혼다코리아(주),12802
2023년,12월,폭스바겐그룹코리아 주식회사,4
2023년,11월,폭스바겐그룹코리아 주식회사,5674
2023년,10월,폭스바겐그룹코리아 주식회사,216
2023년,09월,폭스바겐그룹코리아 주식회사,1
2023년,08월,폭스바겐그룹코리아 주식회사,438
2023년,07월,폭스바겐그룹코리아 주식회사,317
2023년,06월,폭스바겐그룹코리아 주식회사,24348
2023년,05월,폭스바겐그룹코리아 주식회사,156
2023년,04월,폭스바겐그룹코리아 주식회사,13036
2023년,03월,폭스바겐그룹코리아 주식회사,14
2023년,02월,폭스바겐그룹코리아 주식회사,110260
2023년,01월,폭스바겐그룹코리아 주식회사,18327
2023년,총합,폭스바겐그룹코리아 주식회사,172791
2023년,08월,한국닛산(주),770
2023년,06월,한국닛산(주),251
2023년,04월,한국닛산(주),770
2023년,총합,한국닛산(주),1791
2023년,12월,포르쉐코리아 주식회사,81
2023년,11월,포르쉐코리아 주식회사,970
2023년,09월,포르쉐코리아 주식회사,914
2023년,07월,포르쉐코리아 주식회사,2
2023년,06월,포르쉐코리아 주식회사,6495
2023년,05월,포르쉐코리아 주식회사,5194
2023년,04월,포르쉐코리아 주식회사,14759
2023년,03월,포르쉐코리아 주식회사,16
2023년,02월,포르쉐코리아 주식회사,2
2023년,총합,포르쉐코리아 주식회사,28433
2023년,01월,다임러트럭코리아(주),5
2023년,총합,다임러트럭코리아(주),5
2023년,11월,(주)에프엠케이,78
2023년,09월,(주)에프엠케이,14
2023년,07월,(주)에프엠케이,65
2023년,04월,(주)에프엠케이,1
2023년,총합,(주)에프엠케이,158
2023년,12월,(주)재규어랜드로버코리아,233
2023년,08월,(주)재규어랜드로버코리아,2384
2023년,07월,(주)재규어랜드로버코리아,21
2023년,06월,(주)재규어랜드로버코리아,2
2023년,04월,(주)재규어랜드로버코리아,22
2023년,03월,(주)재규어랜드로버코리아,164
2023년,총합,(주)재규어랜드로버코리아,2826
2023년,11월,기흥인터내셔널 유한회사,19
2023년,01월,기흥인터내셔널 유한회사,4
2023년,총합,기흥인터내셔널 유한회사,23
2023년,12월,테슬라코리아 유한회사,9914
2023년,11월,테슬라코리아 유한회사,1266
2023년,08월,테슬라코리아 유한회사,273
2023년,04월,테슬라코리아 유한회사,2539
2023년,총합,테슬라코리아 유한회사,13992
2023년,10월,주식회사 이비온,300
2023년,총합,주식회사 이비온,300
2023년,10월,비바모빌리티 주식회사,197
2023년,총합,비바모빌리티 주식회사,197
2023년,11월,비엠더블유코리아(주)(이륜),141
2023년,03월,비엠더블유코리아(주)(이륜),354
2023년,02월,비엠더블유코리아(주)(이륜),2324
2023년,총합,비엠더블유코리아(주)(이륜),2819
2023년,11월,(유)기흥모터스(이륜),57
2023년,10월,(유)기흥모터스(이륜),744
2023년,총합,(유)기흥모터스(이륜),801
2023년,05월,혼다코리아(주)(이륜),72
2023년,총합,혼다코리아(주)(이륜),72
2023년,03월,(주) 한국모터트레이딩(이륜),874
2023년,02월,(주) 한국모터트레이딩(이륜),182
2023년,총합,(주) 한국모터트레이딩(이륜),1056
2023년,03월,(주)스즈키씨엠씨(이륜),590
2023년,총합,(주)스즈키씨엠씨(이륜),590
2023년,12월,(주)바이크코리아(이륜),131
2023년,09월,(주)바이크코리아(이륜),654
2023년,04월,(주)바이크코리아(이륜),142
2023년,03월,(주)바이크코리아(이륜),65
2023년,총합,(주)바이크코리아(이륜),992
2023년,09월,한솜바이크(주)(이륜),1062
2023년,총합,한솜바이크(주)(이륜),1062
2023년,01월,화창상사(주)(이륜),223
2023년,총합,화창상사(주)(이륜),223
2023년,01월,대전기계공업(주)(이륜),219
2023년,총합,대전기계공업(주)(이륜),219
2023년,10월,유한회사 모토로싸(이륜),36
2023년,07월,유한회사 모토로싸(이륜),209
2023년,06월,유한회사 모토로싸(이륜),3
2023년,총합,유한회사 모토로싸(이륜),248
2023년,08월,주식회사 오토스원(이륜),811
2023년,총합,주식회사 오토스원(이륜),811
2023년,08월,주식회사 더좋은사람(이륜),244
2023년,총합,주식회사 더좋은사람(이륜),244
2023년,12월,기아 주식회사,17050
2023년,11월,기아 주식회사,26427
2023년,10월,기아 주식회사,4768
2023년,09월,기아 주식회사,4919
2023년,08월,기아 주식회사,121642
2023년,06월,기아 주식회사,85912
2023년,05월,기아 주식회사,190841
2023년,01월,기아 주식회사,4049
2023년,총합,기아 주식회사,455608
2023년,07월,르노코리아(주),8193
2023년,06월,르노코리아(주),0
2023년,04월,르노코리아(주),3156
2023년,총합,르노코리아(주),11349
2023년,12월,케이지모빌리티 주식회사(KG Mobility Corp.),58103
2023년,총합,케이지모빌리티 주식회사(KG Mobility Corp.),58103
2023년,11월,한국지엠주식회사,9627
2023년,08월,한국지엠주식회사,271
2023년,06월,한국지엠주식회사,2300
2023년,05월,한국지엠주식회사,1467
2023년,04월,한국지엠주식회사,11454
2023년,01월,한국지엠주식회사,1443
2023년,총합,한국지엠주식회사,26562
2023년,12월,현대자동차(주),396
2023년,11월,현대자동차(주),16967
2023년,09월,현대자동차(주),41406
2023년,08월,현대자동차(주),170378
2023년,07월,현대자동차(주),1025
2023년,06월,현대자동차(주),276094
2023년,05월,현대자동차(주),30480
2023년,04월,현대자동차(주),25
2023년,03월,현대자동차(주),17057
2023년,02월,현대자동차(주),51471
2023년,01월,현대자동차(주),5998
2023년,총합,현대자동차(주),611297
2023년,01월,(주)에이치알이앤아이,587
2023년,총합,(주)에이치알이앤아이,587
2023년,05월,(주)루트17,443
2023년,03월,(주)루트17,443
2023년,총합,(주)루트17,886
2023년,09월,마스타전기차(주),612
2023년,총합,마스타전기차(주),612
2023년,07월,(주)바이크원(이륜),713
2023년,총합,(주)바이크원(이륜),713
2023년,08월,주식회사 젠트로피,281
2023년,총합,주식회사 젠트로피,281
2024년,12월,비엠더블유코리아(주),69614
2024년,11월,비엠더블유코리아(주),28128
2024년,10월,비엠더블유코리아(주),2814
2024년,09월,비엠더블유코리아(주),26276
2024년,08월,비엠더블유코리아(주),207389
2024년,06월,비엠더블유코리아(주),352
2024년,05월,비엠더블유코리아(주),54
2024년,03월,비엠더블유코리아(주),13895
2024년,02월,비엠더블유코리아(주),9632
2024년,01월,비엠더블유코리아(주),40
2024년,총합,비엠더블유코리아(주),358194
2024년,12월,스텔란티스코리아 주식회사,582
2024년,09월,스텔란티스코리아 주식회사,1859
2024년,07월,스텔란티스코리아 주식회사,13
2024년,05월,스텔란티스코리아 주식회사,7231
2024년,04월,스텔란티스코리아 주식회사,6269
2024년,03월,스텔란티스코리아 주식회사,1630
2024년,총합,스텔란티스코리아 주식회사,17584
2024년,12월,포드세일즈서비스코리아(유),10
2024년,11월,포드세일즈서비스코리아(유),32425
2024년,10월,포드세일즈서비스코리아(유),1399
2024년,09월,포드세일즈서비스코리아(유),5911
2024년,08월,포드세일즈서비스코리아(유),1603
2024년,04월,포드세일즈서비스코리아(유),26
2024년,03월,포드세일즈서비스코리아(유),469
2024년,02월,포드세일즈서비스코리아(유),351
2024년,01월,포드세일즈서비스코리아(유),2156
2024년,총합,포드세일즈서비스코리아(유),44350
2024년,12월,지엠아시아퍼시픽지역본부 주식회사,1632
2024년,10월,지엠아시아퍼시픽지역본부 주식회사,705
2024년,08월,지엠아시아퍼시픽지역본부 주식회사,301
2024년,07월,지엠아시아퍼시픽지역본부 주식회사,16
2024년,총합,지엠아시아퍼시픽지역본부 주식회사,2654
2024년,12월,메르세데스벤츠코리아(주),7201
2024년,11월,메르세데스벤츠코리아(주),67
2024년,10월,메르세데스벤츠코리아(주),13055
2024년,09월,메르세데스벤츠코리아(주),225
2024년,08월,메르세데스벤츠코리아(주),3073
2024년,07월,메르세데스벤츠코리아(주),728
2024년,06월,메르세데스벤츠코리아(주),1265
2024년,05월,메르세데스벤츠코리아(주),26949
2024년,04월,메르세데스벤츠코리아(주),11366
2024년,03월,메르세데스벤츠코리아(주),35621
2024년,02월,메르세데스벤츠코리아(주),16357
2024년,01월,메르세데스벤츠코리아(주),26
2024년,총합,메르세데스벤츠코리아(주),115933
2024년,11월,(주)볼보자동차코리아,39
2024년,02월,(주)볼보자동차코리아,1052
2024년,01월,(주)볼보자동차코리아,1089
2024년,총합,(주)볼보자동차코리아,2180
2024년,01월,제이스모빌리티 주식회사,1602
2024년,총합,제이스모빌리티 주식회사,1602
2024년,04월,(주)에스에스라이트,27
2024년,총합,(주)에스에스라이트,27
2024년,11월,주식회사 모빌리티네트웍스,3106
2024년,03월,주식회사 모빌리티네트웍스,3100
2024년,02월,주식회사 모빌리티네트웍스,1550
2024년,총합,주식회사 모빌리티네트웍스,7756
2024년,09월,한국토요타자동차(주),1
2024년,07월,한국토요타자동차(주),9125
2024년,06월,한국토요타자동차(주),622
2024년,05월,한국토요타자동차(주),436
2024년,03월,한국토요타자동차(주),587
2024년,총합,한국토요타자동차(주),10771
2024년,12월,볼보트럭코리아(주),4
2024년,11월,볼보트럭코리아(주),1
2024년,10월,볼보트럭코리아(주),237
2024년,09월,볼보트럭코리아(주),6998
2024년,08월,볼보트럭코리아(주),66
2024년,07월,볼보트럭코리아(주),2254
2024년,03월,볼보트럭코리아(주),3
2024년,총합,볼보트럭코리아(주),9563
2024년,09월,스카니아코리아그룹(주),1274
2024년,총합,스카니아코리아그룹(주),1274
2024년,11월,만트럭버스코리아(주),6
2024년,10월,만트럭버스코리아(주),1435
2024년,08월,만트럭버스코리아(주),1939
2024년,06월,만트럭버스코리아(주),44
2024년,04월,만트럭버스코리아(주),308
2024년,03월,만트럭버스코리아(주),2423
2024년,02월,만트럭버스코리아(주),1975
2024년,총합,만트럭버스코리아(주),8130
2024년,06월,브리타니아오토 주식회사,183
2024년,총합,브리타니아오토 주식회사,183
2024년,12월,혼다코리아(주),14656
2024년,11월,혼다코리아(주),2816
2024년,04월,혼다코리아(주),1692
2024년,02월,혼다코리아(주),2080
2024년,01월,혼다코리아(주),49
2024년,총합,혼다코리아(주),21293
2024년,12월,폭스바겐그룹코리아 주식회사,246
2024년,11월,폭스바겐그룹코리아 주식회사,501
2024년,10월,폭스바겐그룹코리아 주식회사,5741
2024년,07월,폭스바겐그룹코리아 주식회사,8364
2024년,06월,폭스바겐그룹코리아 주식회사,5732
2024년,05월,폭스바겐그룹코리아 주식회사,1149
2024년,04월,폭스바겐그룹코리아 주식회사,1
2024년,02월,폭스바겐그룹코리아 주식회사,833
2024년,01월,폭스바겐그룹코리아 주식회사,147
2024년,총합,폭스바겐그룹코리아 주식회사,22714
2024년,09월,한국닛산(주),770
2024년,07월,한국닛산(주),8802
2024년,01월,한국닛산(주),1101
2024년,총합,한국닛산(주),10673
2024년,12월,포르쉐코리아 주식회사,270
2024년,10월,포르쉐코리아 주식회사,20
2024년,08월,포르쉐코리아 주식회사,1
2024년,07월,포르쉐코리아 주식회사,11302
2024년,06월,포르쉐코리아 주식회사,4360
2024년,04월,포르쉐코리아 주식회사,304
2024년,총합,포르쉐코리아 주식회사,16257
2024년,10월,다임러트럭코리아(주),147
2024년,총합,다임러트럭코리아(주),147
2024년,05월,(주)에프엠케이,3
2024년,총합,(주)에프엠케이,3
2024년,10월,(주)재규어랜드로버코리아,1
2024년,07월,(주)재규어랜드로버코리아,372
2024년,06월,(주)재규어랜드로버코리아,57
2024년,05월,(주)재규어랜드로버코리아,329
2024년,03월,(주)재규어랜드로버코리아,1542
2024년,01월,(주)재규어랜드로버코리아,140
2024년,총합,(주)재규어랜드로버코리아,2441
2024년,01월,기흥인터내셔널 유한회사,21
2024년,총합,기흥인터내셔널 유한회사,21
2024년,11월,주식회사 제이에스얼라이언스,106
2024년,총합,주식회사 제이에스얼라이언스,106
2024년,08월,테슬라코리아 유한회사,66489
2024년,07월,테슬라코리아 유한회사,22072
2024년,06월,테슬라코리아 유한회사,2819
2024년,03월,테슬라코리아 유한회사,136
2024년,02월,테슬라코리아 유한회사,52637
2024년,01월,테슬라코리아 유한회사,65983
2024년,총합,테슬라코리아 유한회사,210136
2024년,12월,(주)GS글로벌,975
2024년,10월,(주)GS글로벌,605
2024년,02월,(주)GS글로벌,1436
2024년,총합,(주)GS글로벌,3016
2024년,03월,주식회사 피라인모터스,1
2024년,총합,주식회사 피라인모터스,1
2024년,10월,주식회사 이비온,70
2024년,08월,주식회사 이비온,359
2024년,05월,주식회사 이비온,70
2024년,04월,주식회사 이비온,2
2024년,총합,주식회사 이비온,501
2024년,05월,범한자동차 주식회사,102
2024년,02월,범한자동차 주식회사,180
2024년,총합,범한자동차 주식회사,282
2024년,10월,비엠더블유코리아(주)(이륜),270
2024년,04월,비엠더블유코리아(주)(이륜),176
2024년,총합,비엠더블유코리아(주)(이륜),446
2024년,12월,(유)기흥모터스(이륜),60
2024년,10월,(유)기흥모터스(이륜),259
2024년,03월,(유)기흥모터스(이륜),37
2024년,총합,(유)기흥모터스(이륜),356
2024년,12월,혼다코리아(주)(이륜),97
2024년,06월,혼다코리아(주)(이륜),2096
2024년,총합,혼다코리아(주)(이륜),2193
2024년,12월,(주) 한국모터트레이딩(이륜),137
2024년,08월,(주) 한국모터트레이딩(이륜),874
2024년,총합,(주) 한국모터트레이딩(이륜),1011
2024년,11월,(주)스즈키씨엠씨(이륜),1526
2024년,10월,(주)스즈키씨엠씨(이륜),114
2024년,08월,(주)스즈키씨엠씨(이륜),40
2024년,02월,(주)스즈키씨엠씨(이륜),44
2024년,총합,(주)스즈키씨엠씨(이륜),1724
2024년,11월,(주)바이크코리아(이륜),809
2024년,04월,(주)바이크코리아(이륜),97
2024년,총합,(주)바이크코리아(이륜),906
2024년,09월,케이알모터스 주식회사(이륜),6868
2024년,총합,케이알모터스 주식회사(이륜),6868
2024년,07월,한솜바이크(주)(이륜),1199
2024년,05월,한솜바이크(주)(이륜),87
2024년,총합,한솜바이크(주)(이륜),1286
2024년,01월,화창상사(주)(이륜),7
2024년,총합,화창상사(주)(이륜),7
2024년,06월,대전기계공업(주)(이륜),20
2024년,총합,대전기계공업(주)(이륜),20
2024년,02월,유한회사 모토로싸(이륜),157
2024년,총합,유한회사 모토로싸(이륜),157
2024년,09월,기흥인터내셔널 유한회사(이륜),550
2024년,총합,기흥인터내셔널 유한회사(이륜),550
2024년,02월,블루샤크코리아 주식회사(이륜),1167
2024년,총합,블루샤크코리아 주식회사(이륜),1167
2024년,01월,주식회사 더좋은사람(이륜),1798
2024년,총합,주식회사 더좋은사람(이륜),1798
2024년,12월,기아 주식회사,296184
2024년,11월,기아 주식회사,23318
2024년,10월,기아 주식회사,293919
2024년,09월,기아 주식회사,92702
2024년,08월,기아 주식회사,52171
2024년,07월,기아 주식회사,509876
2024년,06월,기아 주식회사,102458
2024년,05월,기아 주식회사,129718
2024년,04월,기아 주식회사,21778
2024년,03월,기아 주식회사,74976
2024년,02월,기아 주식회사,458
2024년,01월,기아 주식회사,20167
2024년,총합,기아 주식회사,1617725
2024년,11월,타타대우상용차(주),294
2024년,총합,타타대우상용차(주),294
2024년,05월,르노코리아(주),37808
2024년,01월,르노코리아(주),83574
2024년,총합,르노코리아(주),121382
2024년,03월,케이지모빌리티 주식회사(KG Mobility Corp.),4805
2024년,총합,케이지모빌리티 주식회사(KG Mobility Corp.),4805
2024년,12월,한국지엠주식회사,41863
2024년,11월,한국지엠주식회사,2
2024년,10월,한국지엠주식회사,135
2024년,07월,한국지엠주식회사,2
2024년,06월,한국지엠주식회사,159
2024년,03월,한국지엠주식회사,10
2024년,총합,한국지엠주식회사,42171
2024년,12월,현대자동차(주),188970
2024년,10월,현대자동차(주),488418
2024년,09월,현대자동차(주),824534
2024년,08월,현대자동차(주),44012
2024년,07월,현대자동차(주),187300
2024년,06월,현대자동차(주),292194
2024년,05월,현대자동차(주),151987
2024년,04월,현대자동차(주),46240
2024년,03월,현대자동차(주),211307
2024년,02월,현대자동차(주),19551
2024년,01월,현대자동차(주),2463
2024년,총합,현대자동차(주),2456976
2024년,09월,아이씨피(주),5
